Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Play Count	Last Played	My Rating	Location	366
Laundromat Song	Dead Milkmen		Big Lizard in my Backyard		Punk	1699470	106			19			6/20/05 2:09 PM	7/19/05 11:46 AM	128	44100		MPEG audio file						MP3Vol366:Dead Milkmen:Big Lizard In My Backyard:Dead Milkmen - Big Lizard In My Backyard - 19 - Laundromat Song.mp3	366
Nutrition	Dead Milkmen		Big Lizard in my Backyard		Punk	2179641	136			20			6/20/05 2:10 PM	7/19/05 11:46 AM	128	44100		MPEG audio file						MP3Vol366:Dead Milkmen:Big Lizard In My Backyard:Dead Milkmen - Big Lizard In My Backyard - 20 - Nutrition.mp3	366
Tugena	Dead Milkmen		Big Lizard in my Backyard		Punk	5228227	326			21			6/20/05 2:12 PM	7/19/05 11:46 AM	128	44100		MPEG audio file						MP3Vol366:Dead Milkmen:Big Lizard In My Backyard:Dead Milkmen - Big Lizard In My Backyard - 21 - Tugena.mp3	366
Where The Tarantula Lives	Dead Milkmen		Eat Your Paisley		Punk	3923024	163			1			6/20/05 2:25 PM	7/19/05 11:46 AM	192	44100		MPEG audio file						MP3Vol366:Dead Milkmen:Eat Your Paisley:Dead Milkmen - Eat Your Paisley - 01 - Where The Tarantula Lives.mp3	366
Air Crash Museum	Dead Milkmen		Eat Your Paisley		Punk	2445321	101			2			6/20/05 2:26 PM	7/19/05 11:46 AM	192	44100		MPEG audio file						MP3Vol366:Dead Milkmen:Eat Your Paisley:Dead Milkmen - Eat Your Paisley - 02 - Air Crash Museum.mp3	366
Kksuck2	Dead Milkmen		Eat Your Paisley		Punk	2764424	115			3			6/20/05 2:27 PM	7/19/05 11:46 AM	192	44100		MPEG audio file						MP3Vol366:Dead Milkmen:Eat Your Paisley:Dead Milkmen - Eat Your Paisley - 03 - Kksuck2.mp3	366
Fifty Things	Dead Milkmen		Eat Your Paisley		Punk	2599544	108			4			6/20/05 2:28 PM	7/19/05 11:46 AM	192	44100		MPEG audio file						MP3Vol366:Dead Milkmen:Eat Your Paisley:Dead Milkmen - Eat Your Paisley - 04 - Fifty Things.mp3	366
Happy Is	Dead Milkmen		Eat Your Paisley		Punk	3665336	152			5			6/20/05 2:30 PM	7/19/05 11:46 AM	192	44100		MPEG audio file						MP3Vol366:Dead Milkmen:Eat Your Paisley:Dead Milkmen - Eat Your Paisley - 05 - Happy Is.mp3	366
Beach Party Vietnam	Dead Milkmen		Eat Your Paisley		Punk	2565069	106			6			6/20/05 2:31 PM	7/19/05 11:46 AM	192	44100		MPEG audio file						MP3Vol366:Dead Milkmen:Eat Your Paisley:Dead Milkmen - Eat Your Paisley - 06 - Beach Party Vietnam.mp3	366
I Hear Your Name	Dead Milkmen		Eat Your Paisley		Punk	3773804	157			7			6/20/05 2:32 PM	7/19/05 11:46 AM	192	44100		MPEG audio file						MP3Vol366:Dead Milkmen:Eat Your Paisley:Dead Milkmen - Eat Your Paisley - 07 - I Hear Your Name.mp3	366
Two Feet Off The Ground	Dead Milkmen		Eat Your Paisley		Punk	6421373	267			8			6/20/05 2:35 PM	7/19/05 11:46 AM	192	44100		MPEG audio file						MP3Vol366:Dead Milkmen:Eat Your Paisley:Dead Milkmen - Eat Your Paisley - 08 - Two Feet Off The Ground.mp3	366
The Thing That Only Eats Hippies	Dead Milkmen		Eat Your Paisley		Punk	3961902	165			9			6/20/05 2:36 PM	7/19/05 11:46 AM	192	44100		MPEG audio file						MP3Vol366:Dead Milkmen:Eat Your Paisley:Dead Milkmen - Eat Your Paisley - 09 - The Thing That Only Eats Hippies.mp3	366
Six Days	Dead Milkmen		Eat Your Paisley		Punk	2733079	113			10			6/20/05 2:38 PM	7/19/05 11:46 AM	192	44100		MPEG audio file						MP3Vol366:Dead Milkmen:Eat Your Paisley:Dead Milkmen - Eat Your Paisley - 10 - Six Days.mp3	366
Swampland Of Desire	Dead Milkmen		Eat Your Paisley		Punk	3014585	125			11			6/20/05 2:39 PM	7/19/05 11:46 AM	192	44100		MPEG audio file						MP3Vol366:Dead Milkmen:Eat Your Paisley:Dead Milkmen - Eat Your Paisley - 11 - Swampland Of Desire.mp3	366
Take Me Apart	Dead Milkmen		Eat Your Paisley		Punk	3117397	129			12			6/20/05 2:40 PM	7/19/05 11:46 AM	192	44100		MPEG audio file						MP3Vol366:Dead Milkmen:Eat Your Paisley:Dead Milkmen - Eat Your Paisley - 12 - Take Me Apart.mp3	366
Earwig	Dead Milkmen		Eat Your Paisley		Punk	4151326	172			13			6/20/05 2:42 PM	7/19/05 11:46 AM	192	44100		MPEG audio file						MP3Vol366:Dead Milkmen:Eat Your Paisley:Dead Milkmen - Eat Your Paisley - 13 - Earwig.mp3	366
